	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9773	0.9207	1.0	0.9745
RS_SSP	0.9773	1.0	0.8947	0.9773	0.9744
RS_MFPT	0.9207	0.8947	1.0	0.9207	0.9404
RS_BTR	1.0	0.9773	0.9207	1.0	0.9745
RS_SIND	0.9745	0.9744	0.9404	0.9745	1.0
