	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8778	0.8064	1.0	0.9445
RS_SSP	0.8778	1.0	0.8035	0.8778	0.8697
RS_MFPT	0.8064	0.8035	1.0	0.8064	0.9035
RS_BTR	1.0	0.8778	0.8064	1.0	0.9445
RS_SIND	0.9445	0.8697	0.9035	0.9445	1.0
