	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9405	0.8842	1.0	0.9619
RS_SSP	0.9405	1.0	0.9573	0.9405	0.9735
RS_MFPT	0.8842	0.9573	1.0	0.8842	0.9466
RS_BTR	1.0	0.9405	0.8842	1.0	0.9619
RS_SIND	0.9619	0.9735	0.9466	0.9619	1.0
