	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8562	0.7848	1.0	0.8669
RS_SSP	0.8562	1.0	0.8553	0.8562	0.8593
RS_MFPT	0.7848	0.8553	1.0	0.7848	0.8704
RS_BTR	1.0	0.8562	0.7848	1.0	0.8669
RS_SIND	0.8669	0.8593	0.8704	0.8669	1.0
