	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9309	0.8669	1.0	0.9543
RS_SSP	0.9309	1.0	0.8769	0.9309	0.9311
RS_MFPT	0.8669	0.8769	1.0	0.8669	0.9201
RS_BTR	1.0	0.9309	0.8669	1.0	0.9543
RS_SIND	0.9543	0.9311	0.9201	0.9543	1.0
