	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.7763	0.7218	1.0	0.8812
RS_SSP	0.7763	1.0	0.855	0.7763	0.8291
RS_MFPT	0.7218	0.855	1.0	0.7218	0.809
RS_BTR	1.0	0.7763	0.7218	1.0	0.8812
RS_SIND	0.8812	0.8291	0.809	0.8812	1.0
