	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8707	0.8879	1.0	0.8848
RS_SSP	0.8707	1.0	0.8849	0.8707	0.8853
RS_MFPT	0.8879	0.8849	1.0	0.8879	0.8919
RS_BTR	1.0	0.8707	0.8879	1.0	0.8848
RS_SIND	0.8848	0.8853	0.8919	0.8848	1.0
