	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.7113	0.6333	1.0	0.774
RS_SSP	0.7113	1.0	0.8005	0.7113	0.886
RS_MFPT	0.6333	0.8005	1.0	0.6333	0.8639
RS_BTR	1.0	0.7113	0.6333	1.0	0.774
RS_SIND	0.774	0.886	0.8639	0.774	1.0
