	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.7324	0.2278	1.0	0.7805
RS_SSP	0.7324	1.0	0.6385	0.7324	0.8357
RS_MFPT	0.2278	0.6385	1.0	0.2278	0.2502
RS_BTR	1.0	0.7324	0.2278	1.0	0.7805
RS_SIND	0.7805	0.8357	0.2502	0.7805	1.0
