	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.7767	0.7357	1.0	0.88
RS_SSP	0.7767	1.0	0.9282	0.7767	0.8896
RS_MFPT	0.7357	0.9282	1.0	0.7357	0.8898
RS_BTR	1.0	0.7767	0.7357	1.0	0.88
RS_SIND	0.88	0.8896	0.8898	0.88	1.0
