	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8328	0.8605	1.0	0.8201
RS_SSP	0.8328	1.0	0.8168	0.8328	0.8457
RS_MFPT	0.8605	0.8168	1.0	0.8605	0.8331
RS_BTR	1.0	0.8328	0.8605	1.0	0.8201
RS_SIND	0.8201	0.8457	0.8331	0.8201	1.0
