RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SI
0.0	-2.876484457033228	-0.005621966417153243	0.0	0.0
0.0	-2.913971838114793	-0.005817629894286989	0.0	0.0
0.0	-0.03748738108156488	-0.00016632126654467227	0.0	0.0
-0.6931471805599453	-3.0639648991510646	-0.003685628004150274	-0.6931471805599453	0.0
-2.3978952727983707	-4.626430538849915	-0.008418768124884908	-2.3978952727983707	-1.0
-1.7047480922384253	-1.5624656396988506	-0.006372002732213802	-1.7047480922384253	-1.0
-0.6931471805599453	-1.5771783019588446	-0.0002675336650592423	-0.6931471805599453	-0.19999999999999996
-3.332204510175204	-6.194105748480498	-0.03452344764930212	-3.332204510175204	-3.4000000000000004
-2.6390573296152584	-4.616927446521654	-0.033938687319279355	-2.6390573296152584	-3.2
-0.6931471805599453	-1.335719186012144	-0.0001856676939488696	-0.6931471805599453	-0.19999999999999996
-3.332204510175204	-6.231229799093498	-0.034529221047784026	-3.332204510175204	-3.4000000000000004
-2.6390573296152584	-4.895510613081354	-0.03411466465764475	-2.6390573296152584	-3.2
0.0	-0.20160185655666313	-8.155734710272753e-05	0.0	0.0
-2.6390573296152584	-4.601946676510677	-0.033703647589452615	-2.6390573296152584	-3.2
-2.6390573296152584	-4.400344819954014	-0.033894282644760444	-2.6390573296152584	-3.2
-0.6931471805599453	-3.169406138056515	-0.004605789105075812	-0.6931471805599453	-0.2
-2.3978952727983707	-3.940942293755391	-0.007447846429881076	-2.3978952727983707	-0.6
-1.7047480922384253	-0.7715361556988759	-0.0021249301311155235	-1.7047480922384255	-0.39999999999999997
-0.6931471805599453	-1.3373653483399417	-0.00018279268982870995	-0.6931471805599453	-0.19999999999999996
-3.332204510175204	-6.2486825480464265	-0.03460088863266785	-3.332204510175204	-3.4000000000000004
-2.6390573296152584	-4.9113171997064855	-0.03413431020732588	-2.6390573296152584	-3.2
-0.916290731874155	-3.7975122536949373	-0.0076798995765913	-0.9162907318741551	-0.4000000000000001
0.0	-2.8912725690019347	-0.004067453378425996	0.0	0.2
0.916290731874155	0.9062396846930026	0.0055619504138852745	0.9162907318741549	0.6000000000000001
-1.0986122886681098	-3.626444287337923	-0.005323637861277663	-1.0986122886681096	-0.2
-1.9459101490553132	-4.030562737404229	-0.005687947444210029	-1.9459101490553132	-0.6
-0.8472978603872037	-0.4041184500663058	-0.00014843258656158705	-0.8472978603872036	-0.39999999999999997
-1.6094379124341003	-5.080863088101741	-0.0075792882394227715	-1.6094379124341003	-1.0
-2.8903717578961645	-5.791054808543748	-0.023039426572617375	-2.8903717578961645	-2.0
-1.2809338454620642	-0.7101917204420071	-0.0034907017684617583	-1.2809338454620642	-1.0
-1.0986122886681098	-3.461583058292262	-0.00210984606232029	-1.0986122886681096	-0.6
-2.995732273553991	-5.7200654127168065	-0.0237802270940028	-2.995732273553991	-2.2
-1.8971199848858813	-2.258482354424544	-0.012522233682513224	-1.897119984885881	-1.6
-0.40546510810816444	-2.281571885148197	-0.0021056757628638823	-0.4054651081081643	-0.39999999999999997
-2.3025850929940455	-4.458864875602932	-0.022044447020469055	-2.3025850929940455	-2.0
-1.8971199848858813	-2.177292990454735	-0.012363906290761223	-1.897119984885881	-1.6
-1.6094379124341003	-4.379905749205231	-0.007628233884102433	-1.6094379124341003	-0.6000000000000001
-2.3978952727983707	-4.239921383011726	-0.006685195617618661	-2.3978952727983707	-0.39999999999999997
-0.7884573603642702	0.139984366193505	0.003737716370895784	-0.7884573603642702	0.20000000000000012
-1.0986122886681098	-3.7739482481672217	-0.0020575159946361896	-1.0986122886681096	-0.6
-2.995732273553991	-6.08372689056669	-0.024044009978015635	-2.995732273553991	-2.2
-1.8971199848858813	-2.309778642399468	-0.01282347264066004	-1.897119984885881	-1.6
-2.4423470353692043	-5.804442059051951	-0.027620358828949983	-2.4423470353692043	-2.4
0.0	-1.4335787841788858	-0.0002279003015045569	0.0	0.20000000000000012
2.4423470353692043	4.370863274873065	0.033354801251887806	2.4423470353692043	2.6
-2.6390573296152584	-5.48402975865715	-0.019997963507563915	-2.6390573296152584	-1.6
-2.3978952727983707	-5.451989290668352	-0.005986820990449757	-2.3978952727983707	-1.4
0.24116205681688804	0.03204046798879891	0.0034126748869451867	0.24116205681688804	0.19999999999999996
-1.0986122886681098	-4.426174374155959	-0.005471353214391799	-1.0986122886681096	-0.2
-1.9459101490553132	-4.820054801690194	-0.0057625826181139945	-1.9459101490553132	-0.6
-0.8472978603872037	-0.3938804275342352	-9.588404085768623e-05	-0.8472978603872036	-0.39999999999999997
-1.0986122886681098	-2.0313528459582737	-0.00037019122779542946	-1.0986122886681096	-0.39999999999999997
-3.0910424533583156	-6.229617196196303	-0.02331883817174334	-3.0910424533583156	-2.6
-1.992430164690206	-4.198264350238029	-0.01764012818934624	-1.9924301646902063	-2.2
-0.40546510810816444	-1.1044537146139952	-0.0005501162233981062	-0.4054651081081643	-0.19999999999999996
-2.3978952727983707	-4.591236027368073	-0.02167160720799334	-2.3978952727983707	-2.4
