all_UFs	non-NCF RoF	non-RoF EUF	IEF	NCF	avg_sen	bias
0101010101011111	False	False	True	False	1.25	10
0101010101110111	False	False	True	False	1.25	10
0101010101111111	False	False	False	True	1.25	11
0101010111111111	False	False	True	False	1.0	12
0101011101010111	False	False	True	False	1.25	10
0101011101011111	False	False	False	True	1.25	11
0101011101110111	False	False	False	True	1.25	11
0101011101111111	False	True	False	False	1.25	12
0101011111111111	False	False	False	True	1.0	13
0101111101011111	False	False	True	False	1.0	12
0101111101111111	False	False	False	True	1.0	13
0101111111111111	False	False	True	False	0.75	14
0111011101110111	False	False	True	False	1.0	12
0111011101111111	False	False	False	True	1.0	13
0111011111111111	False	False	True	False	0.75	14
0111111101111111	False	False	True	False	0.75	14
0111111111111111	False	False	False	True	0.5	15
1111111111111111	False	False	True	False	0.0	16
