all_UFs	non-NCF RoF	non-RoF EUF	IEF	NCF	avg_sen	bias
00000000000000000000000000000000	False	False	True	False	0.0	0
00000000000000000000000000000001	False	False	False	True	0.3125	1
00000000000000000000000000000011	False	False	True	False	0.5	2
00000000000000000000000000000101	False	False	True	False	0.5	2
00000000000000000000000000000111	False	False	False	True	0.6875	3
00000000000000000000000000001111	False	False	True	False	0.75	4
00000000000000000000000000010001	False	False	True	False	0.5	2
00000000000000000000000000010011	False	False	False	True	0.6875	3
00000000000000000000000000010101	False	False	False	True	0.6875	3
00000000000000000000000000010111	False	True	False	False	0.875	4
00000000000000000000000000011111	False	False	False	True	0.9375	5
00000000000000000000000000110011	False	False	True	False	0.75	4
00000000000000000000000000110111	False	False	False	True	0.9375	5
00000000000000000000000000111111	False	False	True	False	1.0	6
00000000000000000000000001010101	False	False	True	False	0.75	4
00000000000000000000000001010111	False	False	False	True	0.9375	5
00000000000000000000000001011111	False	False	True	False	1.0	6
00000000000000000000000001110111	False	False	True	False	1.0	6
00000000000000000000000001111111	False	False	False	True	1.0625	7
00000000000000000000000011111111	False	False	True	False	1.0	8
00000000000000000000000100000001	False	False	True	False	0.5	2
00000000000000000000000100000011	False	False	False	True	0.6875	3
00000000000000000000000100000101	False	False	False	True	0.6875	3
00000000000000000000000100000111	False	True	False	False	0.875	4
00000000000000000000000100001111	False	False	False	True	0.9375	5
00000000000000000000000100010001	False	False	False	True	0.6875	3
00000000000000000000000100010011	False	True	False	False	0.875	4
00000000000000000000000100010101	False	True	False	False	0.875	4
00000000000000000000000100010111	False	True	False	False	1.0625	5
00000000000000000000000100011111	False	True	False	False	1.125	6
00000000000000000000000100110011	False	False	False	True	0.9375	5
00000000000000000000000100110111	False	True	False	False	1.125	6
00000000000000000000000100111111	False	True	False	False	1.1875	7
00000000000000000000000101010101	False	False	False	True	0.9375	5
00000000000000000000000101010111	False	True	False	False	1.125	6
00000000000000000000000101011111	False	True	False	False	1.1875	7
00000000000000000000000101110111	False	True	False	False	1.1875	7
00000000000000000000000101111111	False	True	False	False	1.25	8
00000000000000000000000111111111	False	False	False	True	1.1875	9
00000000000000000000001100000011	False	False	True	False	0.75	4
00000000000000000000001100000111	False	False	False	True	0.9375	5
00000000000000000000001100001111	False	False	True	False	1.0	6
00000000000000000000001100010011	False	False	False	True	0.9375	5
00000000000000000000001100010111	False	True	False	False	1.125	6
00000000000000000000001100011111	False	True	False	False	1.1875	7
00000000000000000000001100110011	False	False	True	False	1.0	6
00000000000000000000001100110111	False	True	False	False	1.1875	7
00000000000000000000001100111111	False	False	True	False	1.25	8
00000000000000000000001101010111	True	False	False	False	1.1875	7
00000000000000000000001101011111	False	True	False	False	1.25	8
00000000000000000000001101110111	False	True	False	False	1.25	8
00000000000000000000001101111111	False	True	False	False	1.3125	9
00000000000000000000001111111111	False	False	True	False	1.25	10
00000000000000000000010100000101	False	False	True	False	0.75	4
00000000000000000000010100000111	False	False	False	True	0.9375	5
00000000000000000000010100001111	False	False	True	False	1.0	6
00000000000000000000010100010101	False	False	False	True	0.9375	5
00000000000000000000010100010111	False	True	False	False	1.125	6
00000000000000000000010100011111	False	True	False	False	1.1875	7
00000000000000000000010100110111	True	False	False	False	1.1875	7
00000000000000000000010100111111	False	True	False	False	1.25	8
00000000000000000000010101010101	False	False	True	False	1.0	6
00000000000000000000010101010111	False	True	False	False	1.1875	7
00000000000000000000010101011111	False	False	True	False	1.25	8
00000000000000000000010101110111	False	True	False	False	1.25	8
00000000000000000000010101111111	False	True	False	False	1.3125	9
00000000000000000000010111111111	False	False	True	False	1.25	10
00000000000000000000011100000111	False	False	True	False	1.0	6
00000000000000000000011100001111	False	False	False	True	1.0625	7
00000000000000000000011100010111	False	True	False	False	1.1875	7
00000000000000000000011100011111	False	True	False	False	1.25	8
00000000000000000000011100110111	False	True	False	False	1.25	8
00000000000000000000011100111111	False	True	False	False	1.3125	9
00000000000000000000011101010111	False	True	False	False	1.25	8
00000000000000000000011101011111	False	True	False	False	1.3125	9
00000000000000000000011101110111	True	False	False	False	1.3125	9
00000000000000000000011101111111	False	True	False	False	1.375	10
00000000000000000000011111111111	False	False	False	True	1.3125	11
00000000000000000000111100001111	False	False	True	False	1.0	8
00000000000000000000111100011111	False	False	False	True	1.1875	9
00000000000000000000111100111111	False	False	True	False	1.25	10
00000000000000000000111101011111	False	False	True	False	1.25	10
00000000000000000000111101111111	False	False	False	True	1.3125	11
00000000000000000000111111111111	False	False	True	False	1.25	12
00000000000000000001000100010001	False	False	True	False	0.75	4
00000000000000000001000100010011	False	False	False	True	0.9375	5
00000000000000000001000100010101	False	False	False	True	0.9375	5
00000000000000000001000100010111	False	True	False	False	1.125	6
00000000000000000001000100011111	True	False	False	False	1.1875	7
00000000000000000001000100110011	False	False	True	False	1.0	6
00000000000000000001000100110111	False	True	False	False	1.1875	7
00000000000000000001000100111111	False	True	False	False	1.25	8
00000000000000000001000101010101	False	False	True	False	1.0	6
00000000000000000001000101010111	False	True	False	False	1.1875	7
00000000000000000001000101011111	False	True	False	False	1.25	8
00000000000000000001000101110111	False	False	True	False	1.25	8
00000000000000000001000101111111	False	True	False	False	1.3125	9
00000000000000000001000111111111	False	False	True	False	1.25	10
00000000000000000001001100010011	False	False	True	False	1.0	6
00000000000000000001001100010111	False	True	False	False	1.1875	7
00000000000000000001001100011111	False	True	False	False	1.25	8
00000000000000000001001100110011	False	False	False	True	1.0625	7
00000000000000000001001100110111	False	True	False	False	1.25	8
00000000000000000001001100111111	False	True	False	False	1.3125	9
00000000000000000001001101010111	False	True	False	False	1.25	8
00000000000000000001001101011111	True	False	False	False	1.3125	9
00000000000000000001001101110111	False	True	False	False	1.3125	9
00000000000000000001001101111111	False	True	False	False	1.375	10
00000000000000000001001111111111	False	False	False	True	1.3125	11
00000000000000000001010100010101	False	False	True	False	1.0	6
00000000000000000001010100010111	False	True	False	False	1.1875	7
00000000000000000001010100011111	False	True	False	False	1.25	8
00000000000000000001010100110111	False	True	False	False	1.25	8
00000000000000000001010100111111	True	False	False	False	1.3125	9
00000000000000000001010101010101	False	False	False	True	1.0625	7
00000000000000000001010101010111	False	True	False	False	1.25	8
00000000000000000001010101011111	False	True	False	False	1.3125	9
00000000000000000001010101110111	False	True	False	False	1.3125	9
00000000000000000001010101111111	False	True	False	False	1.375	10
00000000000000000001010111111111	False	False	False	True	1.3125	11
00000000000000000001011100010111	False	False	True	False	1.25	8
00000000000000000001011100011111	False	True	False	False	1.3125	9
00000000000000000001011100110111	False	True	False	False	1.3125	9
00000000000000000001011100111111	False	True	False	False	1.375	10
00000000000000000001011101010111	False	True	False	False	1.3125	9
00000000000000000001011101011111	False	True	False	False	1.375	10
00000000000000000001011101110111	False	True	False	False	1.375	10
00000000000000000001011101111111	False	True	False	False	1.4375	11
00000000000000000001011111111111	False	True	False	False	1.375	12
00000000000000000001111100011111	False	False	True	False	1.25	10
00000000000000000001111100111111	False	False	False	True	1.3125	11
00000000000000000001111101011111	False	False	False	True	1.3125	11
00000000000000000001111101111111	False	True	False	False	1.375	12
00000000000000000001111111111111	False	False	False	True	1.3125	13
00000000000000000011001100110011	False	False	True	False	1.0	8
00000000000000000011001100110111	False	False	False	True	1.1875	9
00000000000000000011001100111111	False	False	True	False	1.25	10
00000000000000000011001101110111	False	False	True	False	1.25	10
00000000000000000011001101111111	False	False	False	True	1.3125	11
00000000000000000011001111111111	False	False	True	False	1.25	12
00000000000000000011011100110111	False	False	True	False	1.25	10
00000000000000000011011100111111	False	False	False	True	1.3125	11
00000000000000000011011101110111	False	False	False	True	1.3125	11
00000000000000000011011101111111	False	True	False	False	1.375	12
00000000000000000011011111111111	False	False	False	True	1.3125	13
00000000000000000011111100111111	False	False	True	False	1.25	12
00000000000000000011111101111111	False	False	False	True	1.3125	13
00000000000000000011111111111111	False	False	True	False	1.25	14
00000000000000000101010101010101	False	False	True	False	1.0	8
00000000000000000101010101010111	False	False	False	True	1.1875	9
00000000000000000101010101011111	False	False	True	False	1.25	10
00000000000000000101010101110111	False	False	True	False	1.25	10
00000000000000000101010101111111	False	False	False	True	1.3125	11
00000000000000000101010111111111	False	False	True	False	1.25	12
00000000000000000101011101010111	False	False	True	False	1.25	10
00000000000000000101011101011111	False	False	False	True	1.3125	11
00000000000000000101011101110111	False	False	False	True	1.3125	11
00000000000000000101011101111111	False	True	False	False	1.375	12
00000000000000000101011111111111	False	False	False	True	1.3125	13
00000000000000000101111101011111	False	False	True	False	1.25	12
00000000000000000101111101111111	False	False	False	True	1.3125	13
00000000000000000101111111111111	False	False	True	False	1.25	14
00000000000000000111011101110111	False	False	True	False	1.25	12
00000000000000000111011101111111	False	False	False	True	1.3125	13
00000000000000000111011111111111	False	False	True	False	1.25	14
00000000000000000111111101111111	False	False	True	False	1.25	14
00000000000000000111111111111111	False	False	False	True	1.1875	15
00000000000000001111111111111111	False	False	True	False	1.0	16
00000000000000010000000000000001	False	False	True	False	0.5	2
00000000000000010000000000000011	False	False	False	True	0.6875	3
00000000000000010000000000000101	False	False	False	True	0.6875	3
00000000000000010000000000000111	False	True	False	False	0.875	4
00000000000000010000000000001111	False	False	False	True	0.9375	5
00000000000000010000000000010001	False	False	False	True	0.6875	3
00000000000000010000000000010011	False	True	False	False	0.875	4
00000000000000010000000000010101	False	True	False	False	0.875	4
00000000000000010000000000010111	False	True	False	False	1.0625	5
00000000000000010000000000011111	False	True	False	False	1.125	6
00000000000000010000000000110011	False	False	False	True	0.9375	5
00000000000000010000000000110111	False	True	False	False	1.125	6
00000000000000010000000000111111	False	True	False	False	1.1875	7
00000000000000010000000001010101	False	False	False	True	0.9375	5
00000000000000010000000001010111	False	True	False	False	1.125	6
00000000000000010000000001011111	False	True	False	False	1.1875	7
00000000000000010000000001110111	False	True	False	False	1.1875	7
00000000000000010000000001111111	False	True	False	False	1.25	8
00000000000000010000000011111111	False	False	False	True	1.1875	9
00000000000000010000000100000001	False	False	False	True	0.6875	3
00000000000000010000000100000011	False	True	False	False	0.875	4
00000000000000010000000100000101	False	True	False	False	0.875	4
00000000000000010000000100000111	False	True	False	False	1.0625	5
00000000000000010000000100001111	False	True	False	False	1.125	6
00000000000000010000000100010001	False	True	False	False	0.875	4
00000000000000010000000100010011	False	True	False	False	1.0625	5
00000000000000010000000100010101	False	True	False	False	1.0625	5
00000000000000010000000100010111	False	True	False	False	1.25	6
00000000000000010000000100011111	False	True	False	False	1.3125	7
00000000000000010000000100110011	False	True	False	False	1.125	6
00000000000000010000000100110111	False	True	False	False	1.3125	7
00000000000000010000000100111111	False	True	False	False	1.375	8
00000000000000010000000101010101	False	True	False	False	1.125	6
00000000000000010000000101010111	False	True	False	False	1.3125	7
00000000000000010000000101011111	False	True	False	False	1.375	8
00000000000000010000000101110111	False	True	False	False	1.375	8
00000000000000010000000101111111	False	True	False	False	1.4375	9
00000000000000010000000111111111	False	True	False	False	1.375	10
00000000000000010000001100000011	False	False	False	True	0.9375	5
00000000000000010000001100000111	False	True	False	False	1.125	6
00000000000000010000001100001111	False	True	False	False	1.1875	7
00000000000000010000001100010011	False	True	False	False	1.125	6
00000000000000010000001100010111	False	True	False	False	1.3125	7
00000000000000010000001100011111	False	True	False	False	1.375	8
00000000000000010000001100110011	False	True	False	False	1.1875	7
00000000000000010000001100110111	False	True	False	False	1.375	8
00000000000000010000001100111111	False	True	False	False	1.4375	9
00000000000000010000001101010111	False	True	False	False	1.375	8
00000000000000010000001101011111	False	True	False	False	1.4375	9
00000000000000010000001101110111	False	True	False	False	1.4375	9
00000000000000010000001101111111	False	True	False	False	1.5	10
00000000000000010000001111111111	False	True	False	False	1.4375	11
00000000000000010000010100000101	False	False	False	True	0.9375	5
00000000000000010000010100000111	False	True	False	False	1.125	6
00000000000000010000010100001111	False	True	False	False	1.1875	7
00000000000000010000010100010101	False	True	False	False	1.125	6
00000000000000010000010100010111	False	True	False	False	1.3125	7
00000000000000010000010100011111	False	True	False	False	1.375	8
00000000000000010000010100110111	False	True	False	False	1.375	8
00000000000000010000010100111111	False	True	False	False	1.4375	9
00000000000000010000010101010101	False	True	False	False	1.1875	7
00000000000000010000010101010111	False	True	False	False	1.375	8
00000000000000010000010101011111	False	True	False	False	1.4375	9
00000000000000010000010101110111	False	True	False	False	1.4375	9
00000000000000010000010101111111	False	True	False	False	1.5	10
00000000000000010000010111111111	False	True	False	False	1.4375	11
00000000000000010000011100000111	False	True	False	False	1.1875	7
00000000000000010000011100001111	False	True	False	False	1.25	8
00000000000000010000011100010111	False	True	False	False	1.375	8
00000000000000010000011100011111	False	True	False	False	1.4375	9
00000000000000010000011100110111	False	True	False	False	1.4375	9
00000000000000010000011100111111	False	True	False	False	1.5	10
00000000000000010000011101010111	False	True	False	False	1.4375	9
00000000000000010000011101011111	False	True	False	False	1.5	10
00000000000000010000011101110111	False	True	False	False	1.5	10
00000000000000010000011101111111	False	True	False	False	1.5625	11
00000000000000010000011111111111	False	True	False	False	1.5	12
00000000000000010000111100001111	False	False	False	True	1.1875	9
00000000000000010000111100011111	False	True	False	False	1.375	10
00000000000000010000111100111111	False	True	False	False	1.4375	11
00000000000000010000111101011111	False	True	False	False	1.4375	11
00000000000000010000111101111111	False	True	False	False	1.5	12
00000000000000010000111111111111	False	True	False	False	1.4375	13
00000000000000010001000100010001	False	False	False	True	0.9375	5
00000000000000010001000100010011	False	True	False	False	1.125	6
00000000000000010001000100010101	False	True	False	False	1.125	6
00000000000000010001000100010111	False	True	False	False	1.3125	7
00000000000000010001000100011111	False	True	False	False	1.375	8
00000000000000010001000100110011	False	True	False	False	1.1875	7
00000000000000010001000100110111	False	True	False	False	1.375	8
00000000000000010001000100111111	False	True	False	False	1.4375	9
00000000000000010001000101010101	False	True	False	False	1.1875	7
00000000000000010001000101010111	False	True	False	False	1.375	8
00000000000000010001000101011111	False	True	False	False	1.4375	9
00000000000000010001000101110111	False	True	False	False	1.4375	9
00000000000000010001000101111111	False	True	False	False	1.5	10
00000000000000010001000111111111	False	True	False	False	1.4375	11
00000000000000010001001100010011	False	True	False	False	1.1875	7
00000000000000010001001100010111	False	True	False	False	1.375	8
00000000000000010001001100011111	False	True	False	False	1.4375	9
00000000000000010001001100110011	False	True	False	False	1.25	8
00000000000000010001001100110111	False	True	False	False	1.4375	9
00000000000000010001001100111111	False	True	False	False	1.5	10
00000000000000010001001101010111	False	True	False	False	1.4375	9
00000000000000010001001101011111	False	True	False	False	1.5	10
00000000000000010001001101110111	False	True	False	False	1.5	10
00000000000000010001001101111111	False	True	False	False	1.5625	11
00000000000000010001001111111111	False	True	False	False	1.5	12
00000000000000010001010100010101	False	True	False	False	1.1875	7
00000000000000010001010100010111	False	True	False	False	1.375	8
00000000000000010001010100011111	False	True	False	False	1.4375	9
00000000000000010001010100110111	False	True	False	False	1.4375	9
00000000000000010001010100111111	False	True	False	False	1.5	10
00000000000000010001010101010101	False	True	False	False	1.25	8
00000000000000010001010101010111	False	True	False	False	1.4375	9
00000000000000010001010101011111	False	True	False	False	1.5	10
00000000000000010001010101110111	False	True	False	False	1.5	10
00000000000000010001010101111111	False	True	False	False	1.5625	11
00000000000000010001010111111111	False	True	False	False	1.5	12
00000000000000010001011100010111	False	True	False	False	1.4375	9
00000000000000010001011100011111	False	True	False	False	1.5	10
00000000000000010001011100110111	False	True	False	False	1.5	10
00000000000000010001011100111111	False	True	False	False	1.5625	11
00000000000000010001011101010111	False	True	False	False	1.5	10
00000000000000010001011101011111	False	True	False	False	1.5625	11
00000000000000010001011101110111	False	True	False	False	1.5625	11
