	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9289	0.9031	1.0	0.8756
RS_SSP	0.9289	1.0	0.8948	0.9289	0.8316
RS_MFPT	0.9031	0.8948	1.0	0.9031	0.8651
RS_BTR	1.0	0.9289	0.9031	1.0	0.8756
RS_SIND	0.8756	0.8316	0.8651	0.8756	1.0
