	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9327	0.8767	1.0	0.9591
RS_SSP	0.9327	1.0	0.88	0.9327	0.9337
RS_MFPT	0.8767	0.88	1.0	0.8767	0.9337
RS_BTR	1.0	0.9327	0.8767	1.0	0.9591
RS_SIND	0.9591	0.9337	0.9337	0.9591	1.0
