	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8531	0.7794	1.0	0.8527
RS_SSP	0.8531	1.0	0.8489	0.8531	0.8465
RS_MFPT	0.7794	0.8489	1.0	0.7794	0.8534
RS_BTR	1.0	0.8531	0.7794	1.0	0.8527
RS_SIND	0.8527	0.8465	0.8534	0.8527	1.0
