	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8447	0.8109	1.0	0.8807
RS_SSP	0.8447	1.0	0.9035	0.8447	0.8603
RS_MFPT	0.8109	0.9035	1.0	0.8109	0.885
RS_BTR	1.0	0.8447	0.8109	1.0	0.8807
RS_SIND	0.8807	0.8603	0.885	0.8807	1.0
