	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9076	0.8384	1.0	0.9349
RS_SSP	0.9076	1.0	0.8624	0.9076	0.9486
RS_MFPT	0.8384	0.8624	1.0	0.8384	0.8826
RS_BTR	1.0	0.9076	0.8384	1.0	0.9349
RS_SIND	0.9349	0.9486	0.8826	0.9349	1.0
