	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8344	0.771	1.0	0.8444
RS_SSP	0.8344	1.0	0.8385	0.8344	0.8023
RS_MFPT	0.771	0.8385	1.0	0.771	0.8464
RS_BTR	1.0	0.8344	0.771	1.0	0.8444
RS_SIND	0.8444	0.8023	0.8464	0.8444	1.0
