	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9115	0.8652	1.0	0.9209
RS_SSP	0.9115	1.0	0.9093	0.9115	0.9137
RS_MFPT	0.8652	0.9093	1.0	0.8652	0.8771
RS_BTR	1.0	0.9115	0.8652	1.0	0.9209
RS_SIND	0.9209	0.9137	0.8771	0.9209	1.0
