	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8502	0.7832	1.0	0.9435
RS_SSP	0.8502	1.0	0.896	0.8502	0.937
RS_MFPT	0.7832	0.896	1.0	0.7832	0.9135
RS_BTR	1.0	0.8502	0.7832	1.0	0.9435
RS_SIND	0.9435	0.937	0.9135	0.9435	1.0
