	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.978	0.9727	1.0	0.9678
RS_SSP	0.978	1.0	0.9688	0.978	0.9867
RS_MFPT	0.9727	0.9688	1.0	0.9727	0.9315
RS_BTR	1.0	0.978	0.9727	1.0	0.9678
RS_SIND	0.9678	0.9867	0.9315	0.9678	1.0
