	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8944	0.8883	1.0	0.8916
RS_SSP	0.8944	1.0	0.8498	0.8944	0.9101
RS_MFPT	0.8883	0.8498	1.0	0.8883	0.9181
RS_BTR	1.0	0.8944	0.8883	1.0	0.8916
RS_SIND	0.8916	0.9101	0.9181	0.8916	1.0
