	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8644	0.7727	1.0	0.7634
RS_SSP	0.8644	1.0	0.8815	0.8644	0.7911
RS_MFPT	0.7727	0.8815	1.0	0.7727	0.8187
RS_BTR	1.0	0.8644	0.7727	1.0	0.7634
RS_SIND	0.7634	0.7911	0.8187	0.7634	1.0
