	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.7558	0.67	1.0	0.9253
RS_SSP	0.7558	1.0	0.8856	0.7558	0.8243
RS_MFPT	0.67	0.8856	1.0	0.67	0.8121
RS_BTR	1.0	0.7558	0.67	1.0	0.9253
RS_SIND	0.9253	0.8243	0.8121	0.9253	1.0
