	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.8376	0.8067	1.0	0.8433
RS_SSP	0.8376	1.0	0.9045	0.8376	0.8616
RS_MFPT	0.8067	0.9045	1.0	0.8067	0.8408
RS_BTR	1.0	0.8376	0.8067	1.0	0.8433
RS_SIND	0.8433	0.8616	0.8408	0.8433	1.0
