RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SI
-0.4054651081081644	-1.244595237532635	-0.0047847036530142	-0.4054651081081644	-0.1111111111111112
-0.3448404862917295	0.3410764602386175	0.0026992163863597	-0.3448404862917296	0.6666666666666667
0.2876820724517808	0.5103151636548975	0.0034540059978604	0.2876820724517807	0.6666666666666667
0.2876820724517808	0.5156079290018162	0.0034878817257926	0.2876820724517807	0.6666666666666667
-0.3448404862917295	0.3408293144088748	0.0026978122685485	-0.3448404862917296	0.6666666666666667
0.2876820724517808	0.5156085710161802	0.003487886234494	0.2876820724517807	0.6666666666666667
0.0	0.4525005733519494	0.0030102712225932	0.0	0.6666666666666667
-0.3448404862917295	0.3406851159614009	0.0026966284476704	-0.3448404862917296	0.6666666666666667
0.2876820724517808	0.5107309990909354	0.0034566064586635	0.2876820724517807	0.6666666666666667
-0.6931471805599453	-1.2952201764446305	-0.0048926338787997	-0.6931471805599453	-0.1111111111111112
-3.1780538303479458	-4.486390779575286	-0.007910132558716	-3.1780538303479453	-1.1111111111111112
-2.4849066497880004	-1.864245163251574	-0.0058426164517998	-2.484906649788	-0.7777777777777779
-0.4054651081081644	-1.2446031018334045	-0.0047847475845338	-0.4054651081081644	-0.1111111111111112
-0.6931471805599453	-1.2950841922125118	-0.0048916416673425	-0.6931471805599453	-0.1111111111111112
0.0	0.4523320635137861	0.0030089855291229	0.0	0.6666666666666667
-0.6931471805599453	-1.2951014092886437	-0.0048917113250361	-0.6931471805599453	-0.1111111111111112
-1.0986122886681098	-3.902314979180616	-0.0073219041237129	-1.0986122886681096	-0.4444444444444444
-1.791759469228055	-5.399620794935671	-0.013460610226749	-1.791759469228055	-1.1111111111111112
-1.9993988340063	-4.045486916362099	-0.0131982920222835	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.944644309553447	-0.0131534043142863	-1.3862943611198906	-0.7777777777777779
-1.3862943611198906	-3.940818605897048	-0.0131494043874155	-1.3862943611198906	-0.7777777777777779
-1.9993988340063	-4.04569664026916	-0.013199575690435	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.9408163184181766	-0.0131493796374119	-1.3862943611198906	-0.7777777777777779
-1.5686159179138452	-3.9842937074769234	-0.0131654476054074	-1.5686159179138452	-0.7777777777777779
-1.9993988340063	-4.045710706268096	-0.0132007673233189	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.944428661546056	-0.0131508381714143	-1.3862943611198906	-0.7777777777777779
-2.079441541679836	-5.442908712591455	-0.0134694817470452	-2.079441541679836	-1.1111111111111112
-4.564348191467836	-7.977765394924102	-0.013764411507728	-4.564348191467836	-2.111111111111111
-3.8712010109078903	-5.884356505287242	-0.0136361452609339	-3.8712010109078903	-1.777777777777778
-1.791759469228055	-5.399624821333472	-0.0134606518163747	-1.791759469228055	-1.1111111111111112
-2.079441541679836	-5.442883044460184	-0.013468405437733	-2.079441541679836	-1.1111111111111112
-1.5686159179138452	-3.984305315700987	-0.0131667219943165	-1.5686159179138452	-0.7777777777777779
-2.079441541679836	-5.442876001480787	-0.0134684606088797	-2.079441541679836	-1.1111111111111112
-2.4849066497880004	-7.469592703393984	-0.0136375947721225	-2.484906649788	-1.4444444444444446
-1.791759469228055	-5.399129423457785	-0.0134539264245419	-1.791759469228055	-1.1111111111111112
-1.9993988340063	-4.044966633669866	-0.0131911014894509	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.944286491516959	-0.0131491425470105	-1.3862943611198906	-0.7777777777777779
-1.3862943611198906	-3.940291305315374	-0.0131419274114153	-1.3862943611198906	-0.7777777777777779
-1.9993988340063	-4.0452829174717175	-0.0131926435651203	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.940276926769248	-0.0131419329153286	-1.3862943611198906	-0.7777777777777779
-1.5686159179138452	-3.983863805273925	-0.0131582367551923	-1.5686159179138452	-0.7777777777777779
-1.9993988340063	-4.0453586093264615	-0.0131964961830139	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.9438973794896657	-0.0131434518949101	-1.3862943611198906	-0.7777777777777779
-2.079441541679836	-5.442551531097753	-0.0134652330773774	-2.079441541679836	-1.1111111111111112
-4.564348191467836	-7.977387507472525	-0.0137600715693955	-4.564348191467836	-2.111111111111111
-3.8712010109078903	-5.883924688436472	-0.0136303569779773	-3.8712010109078903	-1.777777777777778
-1.791759469228055	-5.399159629825744	-0.0134541926747695	-1.791759469228055	-1.1111111111111112
-2.079441541679836	-5.442403813740037	-0.0134618781819244	-2.079441541679836	-1.1111111111111112
-1.5686159179138452	-3.983951950195213	-0.0131624641111718	-1.5686159179138452	-0.7777777777777779
-2.079441541679836	-5.442411288184451	-0.0134618488734897	-2.079441541679836	-1.1111111111111112
-2.4849066497880004	-7.468957220586718	-0.0136315938538615	-2.484906649788	-1.4444444444444446
-1.791759469228055	-5.392572201169358	-0.0134502448944111	-1.791759469228055	-1.1111111111111112
-1.9993988340063	-4.038248506472714	-0.0131845238200746	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.9377231380892335	-0.0131434358614722	-1.3862943611198906	-0.7777777777777779
-1.3862943611198906	-3.933507740264613	-0.0131350530561004	-1.3862943611198906	-0.7777777777777779
-1.9993988340063	-4.038797224485415	-0.0131874202803329	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.933489122479968	-0.013135026427692	-1.3862943611198906	-0.7777777777777779
-1.5686159179138452	-3.97736464351905	-0.0131527370728423	-1.5686159179138452	-0.7777777777777779
-1.9993988340063	-4.038875472697917	-0.0131910813619715	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-3.937107934656713	-0.0131364887860505	-1.3862943611198906	-0.7777777777777779
-2.079441541679836	-5.436002983083325	-0.0134615071730867	-2.079441541679836	-1.1111111111111112
-4.564348191467836	-7.970387548700683	-0.0137581765506536	-4.564348191467836	-2.111111111111111
-3.8712010109078903	-5.877395345757294	-0.013627661046568	-3.8712010109078903	-1.777777777777778
-1.791759469228055	-5.392589620157048	-0.0134504316906786	-1.791759469228055	-1.1111111111111112
-2.079441541679836	-5.435848831853485	-0.0134582449561372	-2.079441541679836	-1.1111111111111112
-1.5686159179138452	-3.977453676374711	-0.0131568381563777	-1.5686159179138452	-0.7777777777777779
-2.079441541679836	-5.435842445155099	-0.0134581318465259	-2.079441541679836	-1.1111111111111112
-2.4849066497880004	-7.46171981816982	-0.0136289175328764	-2.484906649788	-1.4444444444444446
-1.791759469228055	-5.790776519866927	-0.0140280814756259	-1.791759469228055	-1.1111111111111112
-1.9993988340063	-4.461918662448245	-0.0139038053459734	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-4.361792073237587	-0.0138985437528447	-1.3862943611198906	-0.7777777777777779
-1.3862943611198906	-4.358129003378117	-0.0138955768755781	-1.3862943611198906	-0.7777777777777779
-1.9993988340063	-4.462087652334756	-0.0139050276400698	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-4.35812733266819	-0.0138955711009566	-1.3862943611198906	-0.7777777777777779
-1.5686159179138452	-4.401072075100057	-0.0139031263191596	-1.5686159179138452	-0.7777777777777779
-1.9993988340063	-4.462106986627196	-0.0139061787907378	-1.9993988340063	-0.7777777777777779
-1.3862943611198906	-4.361636489998956	-0.013896081020607	-1.3862943611198906	-0.7777777777777779
-2.079441541679836	-5.833305651664123	-0.0140308413734797	-2.079441541679836	-1.1111111111111112
-4.564348191467836	-8.254026364007423	-0.0140750455077604	-4.564348191467836	-2.111111111111111
-3.8712010109078903	-6.275427470585266	-0.0140341362478307	-3.8712010109078903	-1.777777777777778
-1.791759469228055	-5.790781025672526	-0.014028192377039	-1.791759469228055	-1.1111111111111112
-2.079441541679836	-5.833164538994554	-0.0140298387370957	-2.079441541679836	-1.1111111111111112
-1.5686159179138452	-4.401093849772535	-0.0139043923006659	-1.5686159179138452	-0.7777777777777779
-2.079441541679836	-5.833151833098075	-0.0140298618329419	-2.079441541679836	-1.1111111111111112
-2.4849066497880004	-7.743854407181888	-0.0140722610706149	-2.484906649788	-1.4444444444444446
-0.6931471805599453	-2.018870566825088	-0.0082552746365557	-0.6931471805599453	-0.4444444444444446
-0.9007865453381898	-0.8325769401725033	-0.0051186998570097	-0.9007865453381898	0.0
-0.2876820724517809	-0.7320522813793655	-0.0049325096212521	-0.2876820724517809	0.0
