	1	2	3	4	5	6	7	8	9	10
1		0.9984	0.9936	0.9858	0.9751	0.9617	0.9461	0.9289	0.9104	0.8913
2			0.9984	0.9936	0.9857	0.9751	0.9619	0.9468	0.9303	0.9129
3				0.9984	0.9936	0.9858	0.9754	0.9628	0.9485	0.9331
4					0.9984	0.9937	0.9862	0.9763	0.9645	0.9512
5						0.9984	0.9939	0.9869	0.9776	0.9668
6							0.9985	0.9943	0.9878	0.9794
7								0.9986	0.9948	0.9888
8									0.9987	0.9953
9										0.9989
10										
