	RS_BOA	RS_SSP	RS_MFPT	RS_BTR	RS_SIND
RS_BOA	1.0	0.9178	0.8692	1.0	0.8888
RS_SSP	0.9178	1.0	0.9163	0.9178	0.9017
RS_MFPT	0.8692	0.9163	1.0	0.8692	0.8802
RS_BTR	1.0	0.9178	0.8692	1.0	0.8888
RS_SIND	0.8888	0.9017	0.8802	0.8888	1.0
